,Recipe_id,Total_Grams,Num_comensales,Categoria
236,8172,627.0,,Recetas de Legumbres
237,8184,3271.5,,Recetas de Verduras
238,8187,2241.5,2.0,Recetas de Salsas
239,8190,1032.0,,Recetas de Verduras
240,8199,1022.0,,Recetas de Legumbres
241,8202,571.0,,Recetas de Pan y bollería
242,8206,455.0,,Recetas de Aperitivos y tapas
243,8215,1468.0,,Recetas de Verduras
244,8216,2286.0,4.0,Recetas de Legumbres
245,8236,1117.0,4.0,Recetas de Mariscos
246,8237,842.0,2.0,Recetas de Aperitivos y tapas
247,8240,2100.0,4.0,Recetas de Mariscos
248,8244,757.0,4.0,Recetas de Aperitivos y tapas
249,8249,309.0,,Recetas de Aperitivos y tapas
250,8264,793.0,6.0,Recetas de Huevos y lácteos
251,8273,556.0,2.0,Recetas de Legumbres
252,8281,1098.0,4.0,Recetas de Postres
253,8282,964.0,4.0,Recetas de Postres
254,8286,967.0,4.0,Recetas de Postres
255,8303,1108.0,8.0,Recetas de Pescado
256,8311,1391.0,4.0,Recetas de Aves y caza
257,8325,479.0,,Recetas de Aves y caza
258,8332,1293.0,1.0,Recetas de Postres
259,8338,328.0,,Recetas de Postres
260,8341,390.0,,Recetas de Huevos y lácteos
261,8353,1600.0,6.0,Recetas de Pescado
262,8355,809.0,,Cócteles y bebidas
263,8357,1048.0,,Recetas de Verduras
264,8360,1210.0,,Recetas de Aperitivos y tapas
265,8362,1258.0,,Recetas de Verduras
266,8363,387.5,,Recetas de Postres
267,8378,895.0,,Recetas de Salsas
268,8392,720.0,,Recetas de Aperitivos y tapas
269,8415,843.0,5.0,Recetas de Arroces y cereales
270,8427,1892.0,,Recetas de Arroces y cereales
271,8429,1851.0,,Recetas de Aves y caza
272,8453,1550.0,,Recetas de Pan y bollería
273,8454,1335.0,,Recetas de Postres
274,8462,646.0,,Recetas de Postres
275,8493,1182.0,,Recetas de Verduras
276,8494,330.0,,Recetas de Postres
277,8500,795.0,,Cócteles y bebidas
278,8504,3201.0,,Recetas de Aves y caza
279,8516,800.0,,Recetas de Aves y caza
280,8523,1681.0,,Recetas de Verduras
281,8539,198.25,4.0,Cócteles y bebidas
282,8543,756.0,,Cócteles y bebidas
283,8544,214.0,,Recetas de Salsas
284,8559,1602.0,,Recetas de Sopas y cremas
285,8561,1249.0,,Recetas de Sopas y cremas
286,8575,563.0,4.0,Recetas de Aves y caza
287,8579,322.0,4.0,Recetas de Salsas
288,8587,1085.0,3.0,Recetas de Carne
289,8604,500.0,15.0,Recetas de Postres
290,8629,713.5,6.0,Recetas de Aperitivos y tapas
291,8639,69.0,4.0,Recetas de Salsas
292,8644,2158.0,2.0,Recetas de Mariscos
293,8664,1153.0,8.0,Recetas de Aves y caza
294,8678,630.0,4.0,Recetas de Postres
295,8684,1701.0,4.0,Recetas de Ensaladas
296,8692,359.0,4.0,Recetas de Salsas
297,8693,2271.0,1.0,Recetas de Aves y caza
298,8702,321.0,2.0,Recetas de Huevos y lácteos
299,8703,1615.0,4.0,Recetas de Postres
300,8705,1191.0,1.0,Recetas de Postres
301,8710,1792.0,2.0,Recetas de Postres
302,8712,767.5,2.0,Recetas de Pescado
303,8734,498.0,4.0,Recetas de Mariscos
304,8750,583.0,20.0,Recetas de Aperitivos y tapas
305,8751,582.0,1.0,Recetas de Aperitivos y tapas
306,8765,974.0,3.0,Recetas de Postres
307,8804,179.0,1.0,Recetas de Aves y caza
308,8844,180.0,2.0,Recetas de Postres
309,8851,1200.0,2.0,Recetas de Salsas
310,8854,2347.0,2.0,Recetas de Carne
311,8860,1176.0,20.0,Recetas de Huevos y lácteos
312,8870,425.0,4.0,Recetas de Pescado
313,8874,188.0,20.0,Recetas de Aperitivos y tapas
314,8886,1185.0,1.0,Recetas de Huevos y lácteos
315,8901,1706.0,2.0,Recetas de Aves y caza
316,8912,1137.0,,Recetas de Arroces y cereales
317,8939,1133.0,,Recetas de Postres
318,8961,712.5,,Cócteles y bebidas
319,8981,160.0,,Recetas de Salsas
320,8985,250.0,,Cócteles y bebidas
321,8990,1024.25,,Recetas de Pescado
322,8994,245.0,2.0,Recetas de Aperitivos y tapas
323,9005,1610.0,4.0,Recetas de Pan y bollería
324,9018,893.0,4.0,Recetas de Pescado
325,9019,1257.0,1.0,Recetas de Postres
326,9021,916.0,,Recetas de Huevos y lácteos
327,9036,513.5,,Recetas de Huevos y lácteos
328,9045,2400.5,2.0,Recetas de Sopas y cremas
329,9051,1323.0,,Recetas de Postres
330,9052,2738.0,,Recetas de Pan y bollería
331,9066,1163.5,,Recetas de Sopas y cremas
332,9076,1276.0,,Recetas de Aves y caza
333,9078,1965.0,,Cócteles y bebidas
334,9090,1319.0,,Recetas de Verduras
335,9098,4095.0,,Recetas de Carne
336,9102,1959.0,,Recetas de Carne
337,9110,617.0,,Recetas de Verduras
338,9114,1647.0,4.0,Recetas de Verduras
339,9142,1302.0,,Cócteles y bebidas
340,9179,37.75,,Recetas de Postres
341,9200,1538.5,,Recetas de Aves y caza
342,9202,191.0,,Recetas de Verduras
343,9223,1735.5,2.0,Recetas de Aperitivos y tapas
344,9228,2076.0,,Recetas de Carne
345,9245,522.0,,Recetas de Mariscos
346,9248,1271.0,4.0,Recetas de Legumbres
347,9261,1484.0,,Recetas de Postres
348,9264,115.0,,Recetas de Salsas
349,9300,230.0,,Recetas de Postres
350,9305,1325.0,,Recetas de Postres
351,9310,1221.0,4.0,Recetas de Aperitivos y tapas
352,9312,1281.0,6.0,Recetas de Huevos y lácteos
353,9318,1025.0,,Recetas de Huevos y lácteos
354,9340,1298.0,,Recetas de Huevos y lácteos
355,9383,739.5,,Recetas de Pescado
356,9389,989.0,3.0,Recetas de Arroces y cereales
357,9449,302.0,4.0,Recetas de Ensaladas
358,9452,1598.0,2.0,Recetas de Pasta
359,9460,651.0,4.0,Recetas de Pan y bollería
360,9461,667.0,4.0,Recetas de Aperitivos y tapas
361,9476,325.0,2.0,Recetas de Verduras
362,9485,720.0,4.0,Recetas de Postres
363,9508,858.5,2.0,Cócteles y bebidas
364,9509,843.0,3.0,Recetas de Postres
365,9510,1646.0,4.0,Recetas de Postres
366,9557,1630.0,4.0,Cócteles y bebidas
367,9563,175.0,4.0,Recetas de Salsas
368,9584,220.5,4.0,Recetas de Verduras
369,9586,858.0,2.0,Recetas de Huevos y lácteos
370,9600,1415.5,4.0,Recetas de Aves y caza
371,9602,316.0,5.0,Recetas de Huevos y lácteos
372,9615,879.5,,Recetas de Pescado
373,9618,808.0,2.0,Recetas de Aves y caza
374,9638,582.0,4.0,Recetas de Aperitivos y tapas
375,9645,544.0,2.0,Recetas de Huevos y lácteos
376,9652,1012.0,,Recetas de Aperitivos y tapas
377,9673,1761.0,3.0,Recetas de Verduras
378,9681,519.5,,Recetas de Aperitivos y tapas
379,9686,456.0,,Recetas de Postres
380,9690,585.5,4.0,Recetas de Carne
381,9695,1577.0,,Recetas de Pescado
382,9718,1775.0,,Recetas de Pasta
383,9720,293.0,,Cócteles y bebidas
384,9722,1120.0,,Recetas de Aperitivos y tapas
385,9731,898.0,2.0,Recetas de Postres
386,9745,1955.0,,Recetas de Verduras
387,9825,450.0,,Recetas de Arroces y cereales
388,9830,2107.5,,Recetas de Carne
389,9836,2325.0,,Recetas de Postres
390,9840,890.0,,Recetas de Postres
391,9847,743.0,,Recetas de Arroces y cereales
392,9852,1246.0,4.0,Recetas de Postres
393,9854,480.0,4.0,Recetas de Postres
394,9858,1234.5,4.0,Recetas de Aves y caza
395,9869,101.0,4.0,Recetas de Carne
396,9878,1369.0,4.0,Recetas de Ensaladas
397,9887,634.0,2.0,Recetas de Legumbres
398,9895,1289.5,4.0,Recetas de Sopas y cremas
399,9904,580.25,4.0,Recetas de Ensaladas
400,9906,434.0,2.0,Recetas de Salsas
401,9946,2853.0,4.0,Recetas de Verduras
402,9962,616.0,2.0,Recetas de Carne
403,9981,190.0,1.0,Recetas de Postres
404,9988,1061.0,6.0,Recetas de Arroces y cereales
405,9989,1317.0,2.0,Recetas de Pescado
406,9990,1432.0,5.0,Recetas de Mariscos
407,9991,1530.0,2.0,Recetas de Sopas y cremas
408,9995,675.0,2.0,Recetas de Ensaladas
409,9998,907.0,4.0,Recetas de Arroces y cereales
410,10027,2511.0,4.0,Recetas de Arroces y cereales
411,10032,1225.0,10.0,Recetas de Postres
412,10058,2027.0,8.0,Recetas de Sopas y cremas
413,10060,3057.0,4.0,Recetas de Sopas y cremas
414,10071,1140.0,4.0,Recetas de Postres
415,10074,1250.0,1.0,Recetas de Postres
416,10078,581.0,,Recetas de Huevos y lácteos
417,10080,1238.0,6.0,Recetas de Arroces y cereales
418,10094,325.0,6.0,Recetas de Postres
419,10100,542.0,1.0,Recetas de Huevos y lácteos
420,10113,344.0,,Cócteles y bebidas
421,10116,956.5,4.0,Recetas de Pan y bollería
422,10130,1352.0,4.0,Recetas de Arroces y cereales
423,10167,936.0,,Recetas de Pan y bollería
424,10171,987.0,,Recetas de Verduras
425,10184,600.0,,Recetas de Postres
426,10191,2158.0,,Recetas de Pescado
427,10201,1344.5,,Recetas de Pan y bollería
428,10205,1918.0,,Recetas de Carne
429,10237,1435.5,,Recetas de Huevos y lácteos
430,10245,361.0,,Recetas de Aperitivos y tapas
431,10246,1443.0,4.0,Recetas de Legumbres
432,10253,1730.0,,Recetas de Pasta
433,10254,1040.0,,Recetas de Verduras
434,10264,966.0,,Recetas de Huevos y lácteos
435,10269,1221.0,,Cócteles y bebidas
436,10285,580.0,,Recetas de Postres
437,10296,680.0,,Recetas de Aves y caza
438,10299,2123.0,,Recetas de Sopas y cremas
439,10301,882.0,,Recetas de Pescado
440,10317,1809.0,,Recetas de Aperitivos y tapas
441,10321,1404.0,,Recetas de Postres
442,10327,1784.0,,Recetas de Verduras
443,10335,448.0,,Recetas de Postres
444,10341,125.5,,Recetas de Sopas y cremas
445,10377,2756.0,,Recetas de Postres
446,10384,619.5,,Recetas de Verduras
447,10394,1404.0,,Recetas de Arroces y cereales
448,10417,1511.0,,Recetas de Verduras
449,10420,748.0,,Recetas de Mariscos
450,10447,546.5,4.0,Recetas de Salsas
451,10454,1228.0,,Recetas de Huevos y lácteos
452,10455,1245.0,,Recetas de Huevos y lácteos
453,10456,1302.0,,Recetas de Verduras
454,10464,1163.0,,Recetas de Huevos y lácteos
455,10493,191.0,,Recetas de Mariscos
456,10495,1573.0,,Recetas de Postres
457,10497,992.0,,Recetas de Postres
458,10516,609.25,,Recetas de Huevos y lácteos
459,10543,1382.0,,Recetas de Mariscos
460,10545,76.0,,Recetas de Salsas
461,10548,820.0,,Recetas de Mariscos
462,10558,169.0,4.0,Recetas de Sopas y cremas
463,10560,841.0,6.0,Recetas de Mariscos
464,10566,1033.0,,Recetas de Sopas y cremas
465,10583,862.5,,Recetas de Postres
466,10585,975.0,,Recetas de Postres
467,10586,995.0,,Recetas de Postres
468,10587,953.0,,Recetas de Mariscos
469,10589,1468.0,,Recetas de Pescado
470,10596,1232.0,,Recetas de Postres
471,10602,963.0,,Recetas de Verduras
472,10608,1875.0,,Recetas de Arroces y cereales
473,10619,1028.0,,Recetas de Postres
474,10626,2551.0,,Recetas de Pan y bollería
475,10636,735.75,,Recetas de Carne
476,10637,142.0,,Recetas de Postres
477,10647,1318.5,4.0,Recetas de Verduras
478,10651,797.0,,Recetas de Postres
479,10656,1257.5,5.0,Recetas de Legumbres
480,10664,666.0,4.0,Recetas de Huevos y lácteos
481,10678,653.0,,Recetas de Postres
482,10702,319.75,6.0,Recetas de Pan y bollería
483,10705,1338.0,6.0,Recetas de Postres
484,10728,1311.0,1.0,Recetas de Postres
485,10751,739.0,8.0,Recetas de Postres
486,10765,915.0,10.0,Recetas de Pan y bollería
487,10779,569.0,4.0,Recetas de Salsas
488,10783,1212.0,6.0,Recetas de Postres
489,10789,784.5,8.0,Recetas de Carne
490,10797,336.5,4.0,Recetas de Aperitivos y tapas
491,10798,666.0,10.0,Recetas de Aperitivos y tapas
492,10807,941.5,4.0,Recetas de Carne
493,10821,1169.5,10.0,Recetas de Postres
494,10830,2445.0,4.0,Recetas de Ensaladas
495,10839,592.0,4.0,Recetas de Verduras
496,10841,1082.5,8.0,Recetas de Verduras
497,10844,2046.0,8.0,Recetas de Aves y caza
498,10845,901.0,6.0,Recetas de Verduras
499,10849,386.0,4.0,Recetas de Arroces y cereales
500,10856,2000.0,4.0,Cócteles y bebidas
501,10860,585.0,8.0,Cócteles y bebidas
502,10869,2197.0,12.0,Recetas de Verduras
503,10875,348.0,5.0,Recetas de Postres
504,10886,337.0,8.0,Recetas de Salsas
505,10904,537.0,12.0,Recetas de Aperitivos y tapas
506,10905,57.0,8.0,Recetas de Verduras
507,10906,1061.0,8.0,Recetas de Postres
508,10933,1730.0,8.0,Recetas de Ensaladas
509,10939,999.5,15.0,Recetas de Pan y bollería
510,10940,1285.0,2.0,Recetas de Huevos y lácteos
511,10941,1242.0,10.0,Recetas de Legumbres
512,10957,488.5,6.0,Cócteles y bebidas
513,10977,1761.0,2.0,Recetas de Pan y bollería
514,10979,1124.0,25.0,Recetas de Huevos y lácteos
