indice,nombre,categoria,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),"fibra, dietetica total",carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
198,"Higado de pollo, crudo",Carne,0.0,137,4.7,22.12,72.0,0.0,1.2,0.067,1.144,0.749,1.582,0.003,0.035,0.942,0.975,0.821,0.492,0.507,0.019,0.289,0.014,3.3e-05,1.3e-06,0.0004,0.00038,0.0148,0.0025,0.00032,2.5e-05,0.0008,0.028,0.018,0.0074,0.218,0.013,0.068,0.24,3e-06,5.5e-05,0.0032
199,"Hígado, de cerdo, crudo",Carne,0.0,120,3.7,21.4,72.4,0.0,0.0,0.067,0.52,0.81,1.2,0.003,0.035,0.942,0.975,0.821,0.301,0.507,0.019,0.289,0.014,0.006495,2.2e-06,0.00017,0.000212,0.015,0.003,0.0004,2.5e-05,0.00069,0.026,0.008,0.013,0.33,0.021,0.087,0.35,1e-05,5.27e-05,0.006900000000000001
200,"Hígado, de vaca/buey, crudo",Carne,0.0,136,4.0216,21.1,70.0,0.0,3.5,0.067,0.64,0.84,1.5,0.003,0.035,0.942,0.975,0.821,0.3,0.507,0.019,0.289,0.014,0.01025,1.2e-06,0.0005,0.000266,0.01278,0.0029,0.00026000000000000003,8.1e-05,0.0008,0.025,0.007,0.0072,0.325,0.017,0.096,0.358,3e-06,4.1299999999999994e-05,0.004
201,Jamón asado,Carne,0.0,266,17.61,26.83,55.04,0.0,1e-12,,7.88,1.688,6.47,,,,,,0.094,,,,,1e-05,9.000000000000001e-07,1e-12,1e-05,0.004574,0.000313,0.000635,6.800000000000001e-07,0.000402,0.0003,0.014,0.00101,0.352,0.022,0.06,0.263,3.46e-05,4.5299999999999997e-05,0.00296
202,"Jamón cocido",Carne,0.0,114,3.0,21.0,75.6,0.0,0.4,,1.4,0.36,1.1,,,,,,0.05,,,,,1e-12,7e-07,8e-05,2.0000000000000002e-07,0.0114,0.00017999999999999998,0.00046,7e-07,0.0002,0.019,0.0096,0.0021000000000000003,0.27,0.0175,0.97,0.239,1.09e-05,1.1e-05,0.0028
203,"Jamón cocido, enlatado",Carne,0.0,126,5.1,18.4,74.0,0.0,1.3,,2.1,0.6,1.9,,,,,,0.068,,,,,1e-12,1e-12,8e-05,1e-12,0.007283,0.00025,0.0005200000000000001,1e-12,0.00022,0.0,0.009,0.0012,0.28,0.018,1.25,0.28,1.1e-05,8e-06,0.0023
204,Jamón ibérico de bellota,Carne,0.0,335,22.2,33.2,38.5,0.0,0.5,,13.08,1.54,6.53,0.013,0.2,4.29,2.04,12.46,0.069,0.657,0.084,0.053,,1e-12,1e-12,8e-05,1e-12,0.0008399999999999999,0.00011,0.0004,1.57e-05,0.00014000000000000001,0.0,0.0068,0.0036,0.655,0.0376,1.935,0.191,1e-05,1.21e-05,0.0035
205,Jamón ibérico de cebo,Carne,0.0,303,19.2,32.3,48.4,0.0,0.1,,10.31,1.18,7.81,0.013,0.25,4.69,2.41,9.19,0.069,0.657,0.084,0.053,,1e-12,1e-12,8e-05,1.35e-05,0.0008,0.00011999999999999999,0.00041999999999999996,1.57e-05,0.00016,0.0,0.010199999999999999,0.0043,0.701,0.037200000000000004,1.942,0.141,1.1e-05,1.21e-05,0.004
206,Jamón serrano,Carne,0.0,319,22.6,28.8,39.9,0.0,0.2,,11.06,2.58,7.94,0.02,0.01,2.314,1.039,5.974,0.084,0.708,0.068,0.11,,0.0,6e-07,0.0002,2e-06,0.008,0.00025,0.001,6e-07,0.0005,0.0,0.009,0.0017,0.25,0.022,2.13,0.167,1.1400000000000001e-05,1.21e-05,0.0021000000000000003
207,Lacón,Carne,0.0,214,10.8,19.12,57.36,0.0,9.9,,4.26,1.66,3.53,,,,,,0.060399999999999995,,,,,9.4e-06,5e-07,8e-05,1e-06,0.006817,0.00017999999999999998,0.00046,6e-07,0.0002,0.0,0.0096,0.0021000000000000003,0.27,0.0175,0.965,0.136,1.09e-05,1.77e-05,0.0028
208,"Lengua de cerdo, cruda",Carne,0.0,157,10.3,16.0,73.7,0.0,0.0,,4.87,1.07,3.57,0.018,0.534,3.327,1.801,4.064,0.116,0.404,0.042,0.054,,0.0,1e-12,0.00051,4e-06,0.008217,0.0005,0.00049,8.000000000000001e-07,0.00035,0.0044,0.0096,0.003,0.278,0.02,0.093,0.197,1.4e-05,1.2e-05,0.0026
209,"Lengua de cordero, cruda",Carne,0.0,192,14.6,15.3,70.1,0.0,0.0,,7.194,0.901,5.623,0.018,0.534,3.327,1.801,4.064,0.18,0.404,0.042,0.054,,1e-12,1e-12,0.00020999999999999998,4e-06,0.007467,0.00049,0.00017,7e-06,0.00017,0.007,0.006,0.0022,0.25,0.033,0.078,0.17,1.4e-05,1.5e-05,0.0027
210,"Lengua, de buey, cruda",Carne,0.0,219,16.1,14.9,65.3,0.0,3.7,,7.2,0.9,7.0,0.018,0.534,3.327,1.801,4.064,0.087,0.404,0.042,0.054,,0.0,1.7e-06,0.00067,7e-06,0.0147,0.00038,0.0003,3.79e-06,0.0007099999999999999,0.0031,0.007,0.0028,0.315,0.0171,0.069,0.133,1.4e-05,9.4e-06,0.0032
211,"Lengua, de ternera, cruda",Carne,0.0,136,7.1,17.8,74.2,0.0,0.0,,3.3,0.4,3.0,0.018,0.534,3.327,1.801,4.064,0.062,0.404,0.042,0.054,,1e-12,0.0,0.0003,5e-06,0.0031,0.00033,0.00015,5e-06,0.00015,0.0031,0.008,0.0026,0.234,0.014,0.08,0.17,1.4e-05,1.47e-05,0.0023
212,Liebre,Carne,0.0,193,8.0,29.9,62.1,0.0,0.0,,0.82,0.58,0.9,,,,,,0.065,,,,,0.0,1e-12,0.00027,5e-06,0.0105,5.9999999999999995e-05,8.999999999999999e-05,1e-06,0.0003,0.0,0.00905,0.0024,0.36,0.024,0.05,0.22,2e-06,1.7e-05,0.0022
213,Lomo embuchado,Carne,0.0,323,20.7,34.0,46.0,0.0,0.0,,8.65,3.17,6.68,,,,,,0.069,,,,,1e-12,1e-12,0.00044,5e-06,0.012,0.00025,0.0008,2e-06,0.00022,0.0,0.02,0.0037,0.23,0.02,1.47,0.18,3.7999999999999996e-06,2e-05,0.0026
214,Longaniza,Carne,0.0,346,27.5,25.0,47.5,0.0,0.0,,12.03,4.65,11.25,,,,,,0.0885,,,,,1e-12,1e-12,0.00029,9.000000000000001e-07,0.00025,0.00015,0.0002,9.000000000000001e-07,0.00014000000000000001,0.0,0.02,0.0016,0.2,0.2,0.07,0.16,1.09e-05,2.11e-05,0.0012
215,Molleja de cordero,Carne,0.0,132,7.8,15.3,76.9,0.0,0.0,,2.4,0.3,3.0,,,,,,0.26,,,,,1e-12,1e-12,0.00044,1.3e-05,0.007,0.00025,2.9999999999999997e-05,6e-06,2.9999999999999997e-05,0.018,0.008,0.0017,0.42,0.021,0.075,0.4,,,0.0019
216,Morcilla,Carne,0.0,324,30.0,11.0,55.0,1e-12,3.2,,13.5,2.5,11.7,0.036,0.553,9.358,5.214,12.604,0.11,5.072,0.356,0.051,,1.3e-05,1e-12,0.0005,5e-06,0.0012,0.0001,7.000000000000001e-05,5e-07,0.0001,0.0,0.04,0.018,0.15,0.011,0.7,0.06,4.9000000000000005e-06,1.18e-05,0.0003
217,"Morcilla, frita",Carne,0.0,307,21.9,12.58,44.0,0.5,15.0,,8.1,3.6,8.5,,,,,,0.068,,,,,0.0,0.0,0.00019,3.63e-06,0.00323,5e-05,5.9999999999999995e-05,8.000000000000001e-07,2.9999999999999997e-05,0.0,0.03325,0.019,0.112,0.0148,0.9075,0.10175,0.0,0.0,0.00124
218,Mortadela,Carne,0.0,295,25.39,14.0,56.0,0.0,3.0,0.011,11.29,4.17,9.4,0.017,0.239,4.153,2.022,5.767,0.072,2.576,0.19,0.068,,1e-12,1e-12,0.00011,1e-12,0.005900000000000001,0.00020999999999999998,0.00033,1e-12,5e-05,0.0,0.013,0.0022,0.207,0.009,0.668,0.16,8.599999999999999e-06,6.1e-06,0.0029
219,Oca,Carne,0.0,276,17.672,29.1,52.0,0.0,0.0,,6.9,2.5,7.3,,,,,,0.075,,,,,7e-06,1e-08,2e-05,1.2e-05,0.0040999999999999995,0.0004,8.999999999999999e-05,1.2e-06,0.00045,0.0,0.012,0.0037,0.4,0.028,0.12,0.29,1.2e-06,2.4e-05,0.0026
220,"Panceta, frita",Carne,0.0,737,80.9,4.68,12.8,1e-12,1e-12,,36.1,8.9,31.5,,,,,,0.198,,,,,1e-12,1e-12,8.999999999999999e-05,1e-12,0.0007700000000000001,1e-12,1e-12,1e-12,1e-12,1e-12,0.00285,0.00067,0.06,0.0037,0.42,0.03515,1.045e-05,9.499999999999999e-07,0.00057
221,"Pate de higado de cerdo, 30% de grasa",Carne,0.0,339,29.5,14.0,51.5,0.0,5.0,0.002,12.41,3.59,10.48,0.009,0.243,4.98,2.805,9.873,0.255,3.165,0.232,0.216,0.037,0.0083,3e-07,0.0005,9.9e-05,0.0070999999999999995,0.00085,0.00017999999999999998,1.2e-05,0.00035,1e-12,0.023,0.0055,0.173,0.012,0.738,0.22,6.3e-06,4.16e-05,0.0023
222,Paté de pimienta,Carne,0.0,290,28.0,11.9,48.8,0.0,11.3,,12.84,3.02,10.48,0.035,0.398,6.732,3.44,10.293,0.096,3.487,0.224,0.112,,0.0058357,9.000000000000001e-07,0.0016,0.000103,0.004,0.0008,5.9999999999999995e-05,6.3e-06,0.00013000000000000002,0.001,0.038,0.0035,0.093,0.011,0.66,0.145,3.6200000000000006e-05,2.5699999999999998e-05,0.0029
223,"Pato, entero, asado",Carne,0.0,189,9.8413,25.0,64.2,0.0,0.0,,5.4,1.2,2.7,,,,,,0.12,,,,,2.30017e-05,1e-06,2e-05,1e-05,0.0050999999999999995,0.00047,0.00026000000000000003,1.2e-06,0.00025,0.0,0.013,0.0027,0.26,0.02,0.085,0.2,1.2e-06,2.4e-05,0.00031
224,Pato,Carne,0.0,138,6.5,19.7,73.8,0.0,0.0,,3.2,1.0,2.0,,,,,,0.11,,,,,2.4e-05,1e-06,2e-05,2.5e-05,0.0053,0.0003,0.0001,3e-06,0.00034,0.003,0.01,0.002,0.28,0.015,0.08,0.2,1.2e-06,1.39e-05,0.0028
225,"Pavo, crudo",Carne,0.0,158,8.5,20.18,71.3,0.0,0.0,,2.987,2.435,2.173,,,,,,0.074,,,,,1.3e-05,1e-12,1e-12,1.6e-05,0.010567,0.00017999999999999998,0.0001,2e-06,0.00046,0.0,0.015,0.00098,0.247,0.02,0.063,0.175,2e-06,2.86e-05,0.0024
226,"Pavo",Carne,0.0,148,9.4,15.3,74.07,0.0,0.4,,3.146,2.342,2.783,,,,,,0.076,,,,,0.0,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.0,0.04,0.00125,0.216,0.022,1.004,0.266,2e-06,1e-12,0.00232
227,"Pavo, fiambre, bajo en grasa",Carne,0.0,101,0.8,19.3,77.5,0.0,3.6,,0.239,0.143,0.234,,,,,,0.04,,,,,0.0,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.0,0.015,0.00111,0.262,0.028,1.18,0.276,2e-06,1e-12,0.001
228,"Pavo, muslo, con piel, crudo",Carne,0.0,151,8.3598,18.9,71.5,0.0,0.0,,3.0,2.3,2.6,,,,,,0.072,,,,,1e-12,1e-12,1e-12,1e-05,0.0029,0.0002,7.000000000000001e-05,3.8e-07,0.00032,0.0,0.013,0.0015,0.201,0.027,0.071,0.211,2e-06,2.65e-05,0.0016
229,"Pavo, pechuga, con piel, crudo",Carne,0.0,107,0.99,24.12,74.9,0.0,1e-12,,0.223,0.235,0.358,,,,,,0.045,,,,,2e-06,1e-12,0.0,7e-06,0.011567000000000001,8.1e-05,4.7e-05,5.2e-07,0.00046,0.0,0.008,0.001,0.333,0.02,0.046,0.21,2e-06,2.24e-05,0.0018
230,"Pechuga de pavo",Carne,0.0,145,2.6455,29.9,66.9,0.0,0.0,,0.6,0.9,1.0,,,,,,0.069,,,,,1.7e-09,0.0,0.0002,8e-06,0.0068,0.00013000000000000002,5.9999999999999995e-05,3.7e-07,0.00054,0.0,0.011,0.0014,0.267,0.021,0.156,0.17,2e-06,2.24e-05,0.0021000000000000003
231,"Perdiz, cruda",Carne,0.0,112,2.32,22.37,75.3,0.0,0.0,,0.595,0.55,0.77,,,,,,0.076,,,,,7.3e-05,0.0,1e-05,8e-06,0.011949999999999999,0.000175,0.000135,4.3e-07,0.00067,0.0060999999999999995,0.015,0.004,0.281,0.031,0.047,0.179,2e-06,1.66e-05,0.0001
232,"Pichón, sin piel, asado",Carne,0.0,178,3.0,37.0,58.0,0.0,0.0,,1.1,0.64,0.78,,,,,,0.075,,,,,7.001699999999999e-06,2.0000000000000002e-07,1e-12,8e-06,0.007,0.00015,0.0003,8.000000000000001e-07,0.0008,0.0,0.015,0.02,0.4,0.035,0.1,0.4,2e-06,1.6e-05,0.0007
233,"Pollo empanado, frito",Carne,0.0,228,15.12,17.57,61.71,0.26,5.34,,7.7,2.3,2.88,,,,,,0.08468,,,,,1.728e-05,1.3e-07,0.00085,8.14e-06,0.006690000000000001,0.00011999999999999999,8.999999999999999e-05,8.41e-06,0.00028000000000000003,0.0,0.023469999999999998,0.00139,0.02,0.01933,0.023649999999999997,0.023280000000000002,3e-06,0.0,0.00122
234,"Pollo, ala, con piel, cruda",Carne,0.0,217,15.97,18.33,65.7,0.0,0.0,,6.28,3.26,4.36,,,,,,0.077,,,,,4.4e-05,1.0000000000000001e-07,0.0003,4e-06,0.009176,8.8e-05,4.8e-05,3.2e-07,0.00035,0.0007,0.012,0.00095,0.156,0.018,0.073,0.132,6.9e-06,1.55e-05,0.00133
235,"Pollo, entero, con piel, asado",Carne,0.0,177,5.0,32.6,62.3,0.0,0.0,,1.86,0.8,1.42,,,,,,0.09129999999999999,,,,,7e-06,2.0000000000000002e-07,0.0002,8e-06,0.0077,0.00017,7.000000000000001e-05,3e-07,0.00044,0.0,0.012,0.0013,0.3,0.024,0.08,0.2,6e-06,2.4e-05,0.0009
236,"Pollo, entero, con piel, crudo",Carne,0.0,167,9.25,20.85,70.3,0.0,0.0,0.004,2.63,4.37,2.66,0.009,0.099,2.448,0.648,3.932,0.11,1.94,0.3,0.043,0.004,2.4e-05,1e-12,1e-12,4e-06,0.0099,0.0001,6.3e-05,3.4000000000000003e-07,0.00053,1e-12,0.0,0.00074,0.22,0.025,0.063,0.248,1.1e-06,1.66e-05,0.0008
237,"Pollo, fiambre",Carne,0.0,140,5.6,19.85,71.5,0.0,2.3,,2.336,0.973,1.452,,,,,,0.059,,,,,0.0,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.0,0.017,0.00158,0.302,0.024,1.196,0.248,6.3e-06,1e-12,0.00113
238,"Pollo, fiambre, bajo en grasa",Carne,0.0,87,0.6,18.3,75.8,0.0,1.7,,0.16,0.06,0.17,,,,,,0.044,,,,,0.0,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.0,0.012,0.00133,0.316,0.036,1.242,0.256,6.3e-06,1e-12,0.0006
239,"Pollo, frito",Carne,0.0,202,14.61,17.08,67.55,0.02,0.74,,8.49,1.64,2.67,,,,,,0.09311,,,,,4.3299999999999995e-05,0.0,0.0007199999999999999,1.308e-05,0.00726,0.00051,0.0001,8.13e-06,0.00035,0.0038799999999999998,0.01097,0.00225,0.03189,0.018600000000000002,0.01042,0.03658,5.53e-06,0.0,0.00109
240,"Pollo, muslo, con piel, asado",Carne,0.0,227,13.5,26.3,59.4,0.0,0.0,,5.2,3.0,3.7,,,,,,0.091,,,,,3.9e-05,4.0000000000000003e-07,0.00027,7e-06,0.0062,0.00020999999999999998,7.000000000000001e-05,3e-07,0.00033,0.0,0.011,0.0013,0.19,0.019,0.089,0.14,6.9e-06,7.2999999999999996e-06,0.0011
241,"Pollo, muslo, con piel, crudo",Carne,0.0,110,3.4,19.5,77.1,0.0,1e-12,,1.4,0.49,1.4,,,,,,0.0683,,,,,1e-12,1e-12,0.0001,1.1400000000000001e-05,0.0078,0.0002,0.0001,1e-12,0.00041999999999999996,0.0017,0.0124,0.0015,0.204,0.021,0.082,0.151,6.9e-06,1.35e-05,0.0008
242,Pollo,Carne,0.0,166,9.6,19.9,70.5,0.0,0.0,0.004,3.146,2.3695,2.609,0.009,0.099,2.448,0.648,3.932,0.099,1.94,0.3,0.043,0.004,3.9e-05,1.0000000000000001e-07,0.00066,1.2e-05,0.011699999999999999,0.00016,8.3e-05,4.0000000000000003e-07,0.0005,0.0025,0.013,0.00073,0.262,0.019,0.083,0.165,6.9e-06,1e-05,0.000996
243,"Pollo, pechuga, con piel, crudo",Carne,0.0,105,1.2,23.1,75.7,0.0,0.0,,0.3,0.28,0.33,,,,,,0.058,,,,,3.4000000000000003e-07,1e-12,0.00027,4.8e-06,0.0087,0.00011999999999999999,0.0001,3.5e-07,0.00035,1e-12,0.0228,0.0015,0.255,0.0224,0.065,0.196,1.8000000000000001e-06,1e-12,0.0014
244,"Pollo, pechuga, plancha",Carne,0.0,146,6.2,22.2,71.6,0.0,0.0,,1.916,1.515,1.907,,,,,,0.062,,,,,1e-12,1e-12,0.00025,5.4e-06,0.009640000000000001,8.1e-05,4.9000000000000005e-05,1e-12,0.0004256,0.00368,0.013300000000000001,0.00099,0.2112,0.01575,0.0528,0.1696,6.9e-06,6.5e-06,0.0008
245,"Pulmón, de cerdo, crudo",Carne,0.0,82,2.72,14.08,83.2,0.0,0.0,,0.61,0.35,0.96,,,,,,0.32,,,,,0.0,3e-06,,3e-06,0.005411699999999999,0.00043,8.5e-05,2.75e-06,0.0001,0.0123,0.007,0.0189,0.303,0.014,0.153,0.196,,1.7800000000000002e-05,0.0020299999999999997
246,"Pulmón, de cordero, crudo",Carne,0.0,91,2.6,16.7,80.7,0.0,0.0,,0.67,0.35,0.89,,,,,,,,,,,2.7e-05,1.2e-05,,1.2e-05,0.006974,0.000237,4.8e-05,3.9300000000000005e-06,0.00011,0.031,0.01,0.0064,0.238,0.014,0.157,0.219,,1.77e-05,0.0018
247,"Pulmón, de ternera, crudo",Carne,0.0,88,2.5,16.2,81.3,0.0,0.0,,0.64,0.34,0.86,,,,,,0.242,,,,,1.4e-05,1.1e-05,,1.1e-05,0.00647,0.00023,4.7e-05,3.81e-06,4e-05,0.0385,0.01,0.00795,0.34,0.014,0.198,0.224,,4.43e-05,0.00161
248,Rabo de toro,Carne,0.0,200,14.0,18.6,67.4,0.0,0.0,,6.6,0.49,6.3,,,,,,0.07,,,,,2.2e-05,,0.00019,8e-06,0.007,6.4e-05,3.8e-05,1e-06,0.00023,0.0,0.0081,0.0019,0.264,0.018,0.061,0.139,6e-06,1e-06,0.0036
249,"Riñón, de cordero, crudo",Carne,0.0,95,2.9987,16.8,78.2,0.0,0.0,0.011,0.66,0.58,1.0,0.003,0.046,1.194,0.815,1.113,0.375,0.683,0.032,0.248,0.008,0.000133,1e-12,0.00043,3e-05,0.00751,0.0021000000000000003,0.0005,5.4e-05,0.00026000000000000003,0.008,0.012,0.0074,0.255,0.016,0.18,0.255,6e-06,9.3e-05,0.0024
250,"Riñón, de ternera, crudo",Carne,0.0,107,4.324,16.8,77.0,0.0,0.0,0.011,0.96,0.87,1.4,0.003,0.046,1.194,0.815,1.113,0.375,0.683,0.032,0.248,0.008,0.00014,1e-06,0.0002,5.5e-05,0.007,0.0022,0.00034,2.5e-05,0.00047999999999999996,0.012,0.01,0.0086,0.26,0.016,0.184,0.26,6e-06,9.3e-05,0.0019
251,Salami,Carne,0.0,435,40.2,17.8,28.4,0.1,1.3,,19.09,4.0,14.86,,,,,,0.08,,,,,1.7e-06,7e-07,0.00011,3e-06,0.0033,0.0002,0.00029,1.5e-06,0.0003,0.0,0.017,0.0022,0.24,0.012,1.962,0.208,1.7e-06,6.9e-06,0.0017
252,Salchicha de pollo fresca,Carne,0.0,307,28.1,13.12,55.41,0.0,0.9,0.005,13.0,2.602,10.545,0.012,0.164,2.892,1.542,4.021,0.067,,1.107,0.044,,0.0,0.0,0.0,3.4e-06,0.00456,0.00016,0.00017999999999999998,1.51e-06,0.00016,0.0,0.03454,0.0014399999999999999,0.21,0.00942,1.06,0.15,1.77e-06,1.15e-05,0.00262
253,Salchicha,Carne,0.0,307,28.1,13.12,55.41,0.0,0.9,0.005,12.3,2.602,10.545,0.012,0.164,2.892,1.542,4.021,0.067,1.485,1.107,0.044,,0.0,0.0,0.0,3.4e-06,0.00456,0.00016,0.00017999999999999998,1.51e-06,0.00016,0.0,0.03454,0.0014399999999999999,0.21,0.00942,1.06,0.15,1.77e-06,1.15e-05,0.00262
254,"Salchicha frankfurt",Carne,0.0,288,26.0,12.7,56.4,0.1,1.3,,12.02,2.96,9.33,0.027,0.381,5.999,3.024,8.375,0.065,3.788,0.275,0.057,,1.5e-05,2.0000000000000002e-07,0.00015,3e-06,0.0024,0.0002,0.0003,5e-07,0.0001,0.0,0.02,0.001,0.17,0.011,0.9,0.173,6.9e-06,8.3e-06,0.0014
255,"Salchicha, tipo país, a la plancha",Carne,0.0,386,34.5,18.57,42.86,0.0,0.86,,10.68,2.42,8.57,,,,,,0.08571,,,,,0.0,0.0,0.00029,2.1400000000000003e-06,0.0032,0.00017999999999999998,0.00029,1.1399999999999999e-06,0.00023,0.00114,0.02143,0.00171,0.21428999999999998,0.01143,0.85714,0.17857,5.5e-06,9.2e-06,0.00393
256,"Salchicha, tipo viena",Carne,0.0,274,25.2,10.3,62.5,0.0,2.0,,12.5,1.7,9.3,,,,,,0.052,,,,,0.0,2.0000000000000002e-07,0.00022,4e-06,0.00161,0.00011,0.00034,1.02e-06,0.00011999999999999999,0.0,0.01,0.00088,0.101,0.007,0.953,0.049,5.5e-06,1.6899999999999997e-05,0.0016
257,Salchichón,Carne,0.0,422,34.7,25.8,38.0,0.0,2.0,1e-12,15.93,5.83,12.3,1e-12,0.44,7.447,1.414,12.72,0.072,3.713,0.25,1e-12,1e-12,1e-12,1e-12,0.00028000000000000003,3e-06,0.01,0.00020999999999999998,0.0002,1e-06,0.00015,0.0,0.015,0.0024,0.207,0.01,1.06,0.26,1.47e-05,2.61e-05,0.0017
258,"Sesos, de cerdo, crudos",Carne,0.0,123,9.0,10.6,78.0,0.0,0.0,0.36,1.6,1.4,2.0,0.003,0.015,0.86,1.117,1.118,2.0,0.036,0.048,0.425,0.031,0.0,1e-08,0.0012,6e-06,0.0043,0.00028000000000000003,0.00016,2.8999999999999998e-06,0.0002,0.017,0.01,0.0036,0.312,0.02,0.153,0.4,,1.59e-05,0.0014
259,"Sesos, de cordero, crudos",Carne,0.0,136,10.7,10.0,78.0,0.0,0.0,0.36,2.1,1.3,2.4,0.003,0.015,0.86,1.117,1.118,2.1,0.036,0.048,0.425,0.031,0.0,0.0,0.0012,6e-06,0.0021000000000000003,0.00025,0.0002,8e-06,0.0001,0.018,0.01,0.0021000000000000003,0.24,0.017,0.125,0.32,,9e-06,0.0014
260,"Sesos, de ternera, crudos",Carne,0.0,119,8.6,10.4,79.0,0.0,0.0,0.36,1.7,1.0,2.0,0.003,0.015,0.86,1.117,1.118,2.1,0.036,0.048,0.425,0.031,0.0,0.0,0.0012,6e-06,0.004,0.00026000000000000003,0.00016,1e-05,0.00016,0.018,0.012,0.0021000000000000003,0.26,0.014,0.127,0.32,,1e-05,0.0014
261,Sobrasada,Carne,0.0,598,61.4,12.9,24.0,0.0,0.0,,28.91,8.91,20.7,,,,,,0.072,,,,,0.000363,1e-12,0.00057,2e-06,0.00268,0.00027,0.0006,9.000000000000001e-07,0.0002,0.0,0.015,0.0019,0.259,0.025,1.264,0.31,1.1e-05,2.11e-05,0.0015
262,"Ternera, costilla, cruda",Carne,0.0,140,6.6107,20.0,72.0,0.0,0.0,,2.9,0.8,2.6,,,,,,0.076,,,,,1e-12,1e-12,8e-05,9e-06,0.0067,0.00026000000000000003,0.00011,1.4e-06,0.00043,0.0,0.012,0.002,0.35,0.02,0.09,0.204,1e-05,7e-06,0.0021000000000000003
263,"Ternera, lomo, crudo, con grasa separable",Carne,0.0,112,3.3,20.2,76.5,0.0,0.0,,1.1,0.34,1.0,,,,,,0.08,,,,,1e-12,1e-12,0.0002,9.5e-06,0.0076,0.00017,4e-05,1e-06,0.00028000000000000003,0.0,0.0092,0.0018,0.35,0.0129,0.06,0.2,5.6e-06,8.8e-06,0.0035
264,Ternera,Carne,0.0,222,11.4376,29.5,56.8,0.0,0.0,,5.1,1.4,4.4,,,,,,0.107,,,,,1e-12,1e-12,0.00015,1e-05,0.0072,0.0003,8.999999999999999e-05,1.3e-06,0.00033,0.0,0.012,0.0012,0.378,0.023,0.084,0.245,3e-06,1.51e-05,0.0021000000000000003
265,"Ternera, parte sin especificar, cruda, con grasa separable",Carne,0.0,255,21.0,16.7,62.3,0.0,0.0,0.018,9.33,1.25,8.51,0.0018,0.07,0.66,0.35,0.9,0.065,0.08,0.02,0.025,0.007,1e-12,1e-12,0.00019,1e-05,0.0072,0.0002,5e-05,1e-06,0.00025,0.0,0.007,0.0019,0.35,0.017,0.061,0.2,3e-06,3e-06,0.0033
266,"Ternera, solomillo, asado",Carne,0.0,157,4.638,28.4,65.1,0.0,0.0,,2.0,0.62,1.8,,,,,,0.098,,,,,1e-12,1e-12,0.00015,1e-05,0.0086,0.00029,7.000000000000001e-05,1.2e-06,0.00035,0.0,0.017,0.0013,0.375,0.025,0.093,0.236,4.9000000000000005e-06,8.7e-06,0.0021000000000000003
267,"Ternera, solomillo, sin grasa, crudo",Carne,0.0,110,3.0633,20.19,75.0,0.0,0.0,,1.3092,0.3328,1.2774,,,,,,0.0735,,,,,1e-12,1e-12,7.5e-05,1.11e-05,0.0068,0.00025,0.0001,1.6000000000000001e-06,0.00044500000000000003,0.0,0.0126,0.0017,0.328,0.0223,0.092,0.21,4.9000000000000005e-06,8.7e-06,0.0031
268,Tocino,Carne,0.0,665,71.0,8.4,20.6,0.0,0.0,,29.86,10.86,29.38,,,,,,0.057,,,,,1e-12,1e-12,2.9999999999999997e-05,1e-12,0.0013,2e-05,0.0001,1e-12,0.00037,0.0,0.006,0.0007,0.075,0.005,0.56,0.177,1.1e-05,1e-06,0.0004
269,"Vaca/buey, parte s/e, asado",Carne,0.0,231,11.7314,31.0,55.7,0.0,0.0,,5.7,0.48,5.0,,,,,,0.07,,,,,1e-12,1e-12,0.0003,8e-06,0.003,0.0003,5e-05,2e-06,0.0003,0.0,0.015,0.004,0.27,0.024,0.06,0.2,6e-06,3e-06,0.0046
270,"Vaca/buey, parte s/e, estofado",Carne,0.0,196,8.3316,30.0,60.8,0.0,0.0,,4.0,0.34,3.6,,,,,,0.07,,,,,1e-12,1e-12,0.00045,1e-05,0.004,0.00026000000000000003,5.9999999999999995e-05,2e-06,0.0003,0.0,0.011,0.0037,0.32,0.023,0.068,0.24,6e-06,3e-06,0.001
