indice,nombre,categoria,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),"fibra, dietetica total",carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
886,Mayonesa,Otros,0.0,785,87.3807,2.1,9.1,1e-12,0.0971,,62.3,7.3,12.8,,,,,,0.15,,,,,7.03333e-05,6e-07,0.0046,1.6e-05,0.0,5.9999999999999995e-05,4e-05,1e-06,4e-05,0.001,0.019,0.0012,0.025,0.007,0.33,0.061,3.5e-05,0.0,0.0005
887,"Mayonesa, aceite de soja",Otros,0.0,710,79.0032,1.3,19.0,0.0,0.7,,22.3,40.6,11.6,,,,,,0.15,,,,,7.23333e-05,5e-07,0.017,1e-05,1e-12,5e-05,2e-05,4.8e-07,0.0001,0.0,0.015,0.0006,0.025,0.007,0.41,0.046,3.5e-05,0.0,0.0001
888,Menta,Otros,0.0,44,0.73,3.8,,6.8,5.3,,1e-12,0.39,0.19,,,,,,0.0,,,,,0.00012333,0.0,0.005,0.00011,0.0011,0.00033,0.00011999999999999999,0.0,0.00016,0.031,0.21,0.0095,0.26,0.063,0.015,0.075,3e-06,,0.00109
889,Mojo picon,Otros,0.0,712,78.9,0.94,30.3,0.16,1.78,,49.52,7.9,10.0,,,,,,0.0,,,,,8.000000000000001e-07,0.0,0.004019999999999999,1.28e-06,0.00027,1e-12,1.4999999999999999e-05,0.0,4.2000000000000004e-05,0.004940000000000001,0.0039700000000000004,0.00058,0.07815000000000001,0.00484,0.0022,0.0219,3.3e-07,2.1e-07,0.00011999999999999999
890,Mostaza,Otros,0.0,133,10.0,5.9,75.0,1.3,5.0,,4.8,1.8,1.3,,,,,,0.0,,,,,0.0,0.0,1e-05,1.8e-05,0.0008,0.0002,0.0001,0.0,1e-12,0.075,0.093,0.0019,0.114,0.076,2.245,0.202,3e-06,2.78e-05,0.001
891,Nuez moscada,Otros,0.0,547,36.3,5.8,6.2,20.8,49.29,,3.2,0.35,25.9,,,,,,0.0,,,,,1.0199999999999999e-05,0.0,0.0025,7.6e-05,0.0013,5.9999999999999995e-05,0.00035,0.0,0.0003,0.003,0.184,0.003,0.35,0.183,0.0162,0.213,,1.6000000000000001e-06,0.0022
892,"Orégano",Otros,0.0,418,10.3,11.0,9.93,42.8,68.92,,0.7,5.2,2.7,,,,,,0.0,,,,,0.00069,0.0,0.0189,0.0,0.0062,0.000528,0.000177,0.0,0.001044,0.0,1.58,0.044,1.67,0.27,0.015,0.2,,5.9e-06,0.0044
893,Paella,Otros,0.0,173,5.74,12.37,63.95,0.5,17.44,,2.98,0.75,1.1,,,,,,0.04481,,,,,1.1119999999999999e-05,1e-12,0.00063,1.175e-05,0.00421,0.0001,7.000000000000001e-05,5.4e-07,0.00025,0.007730000000000001,0.027219999999999998,0.00128,0.12381,0.02123,0.04783,0.07211,1.4289999999999999e-05,0.0,0.00098
894,Paella marinera,Otros,0.0,123,0.62,3.55,68.7,2.03,25.13,,0.212,0.07,0.238,,,,,,0.017,,,,,1.796e-05,1e-12,0.00047,2.59e-05,0.0030099999999999997,0.00015,0.00017999999999999998,2.13e-05,0.00013000000000000002,0.0028,0.020300000000000002,0.00073,0.21430000000000002,0.0232,0.4293,0.2042,1.12e-05,1.07e-05,0.00019
895,"Palomitas de maíz, sin aceite, sin sal",Otros,0.0,343,4.2,12.0,4.1,15.0,62.9,,1.1,1.9,0.6,,,3.476,1.222,13.79,0.0,19.558,0.076,,,2e-05,0.0,0.011,2.3e-05,0.002,0.0002,0.0002,0.0,0.0002,0.0,0.01,0.0027,0.301,0.106,0.004,0.3,2e-06,7.2999999999999996e-06,0.0017
