Recipe_id,alcohol,energia,grasa,proteina,agua,fibra,carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),Total_Grams
22577,0.0,11026.5,399.42,351.1333,1704.9182,36.3475,1476.4038,0.0,145.2125,50.185,150.5725,0.0,0.03,2.98,1.08,27.3,7.7725,11.06,0.05,0.0,0.0,0.004978,6.4e-05,0.051995,0.00124,0.08425,0.01052,0.00279,4.9e-05,0.004075,0.0,7.00775,2.662962,24.35975,0.664625,6.589363,8.169875,0.000472,0.000277,0.0344,4000.0
22598,0.0,1375.439287,98.654267,15.0,335.309403,5.25,107.25,0.0,70.114644,11.781235,16.847265,0.0,0.009875,13.825423,2.715708,68.297589,0.0,11.139341,0.681396,0.0,0.0,3e-06,0.0,0.0123,3.6e-05,0.0009,7.5e-05,0.00015,0.0,0.0003,0.0,0.042517,0.001819,0.2025,0.063628,3.666744,0.180753,7.2e-05,1.1e-05,0.0009,573.88217
22604,12.634168,7858.998749,495.0,101.595223,429.797247,35.0,724.954193,0.0,215.0,49.0,203.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.00026,0.007372,0.000605,0.00101,0.0,0.002198,0.0,0.190814,0.012534,1.473047,0.238528,0.437538,1.390555,0.000132,7.4e-05,0.006019,1820.04464
22619,0.0,1674.62,71.939,38.95,349.236,10.5,214.5,0.0,42.77225,7.7268,19.29585,0.0,0.0051,7.14,1.4025,35.2716,0.27675,5.7528,0.3519,0.0,0.0,0.000252,4e-06,0.008137,0.000105,0.004275,0.000473,0.000361,2e-06,0.00068,0.0,0.10984,0.00511,0.50725,0.07695,0.6035,0.49858,4.9e-05,2.8e-05,0.00271,692.0
22688,0.0,6496.5,476.37,196.25,1278.09065,17.5,357.5,0.0,196.949,54.658,178.37,0.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,0.0,0.002223,2e-05,0.020087,0.000705,0.04746,0.005749,0.001553,2.9e-05,0.002404,0.0,0.769086,0.0286,2.1995,0.279214,5.544657,2.9513,0.000344,0.000164,0.01821,2345.71065
22694,0.0,1964.25,123.975,32.425,502.225,8.75,178.75,0.0,35.83575,4.6035,77.22225,0.0,0.0,0.0,0.0,0.0,0.2385,0.0,0.0,0.0,0.0,0.001146,2.7e-05,0.004305,6.2e-05,0.001545,0.000282,0.000272,0.0,0.000522,0.0,0.1682,0.005463,0.49725,0.08325,2.96625,0.3769,5.5e-05,2e-05,0.002085,855.0
22696,0.0,2256.5,137.75,38.25,144.25,10.5,214.5,0.0,39.8175,5.115,85.8025,0.0,0.0,0.0,0.0,0.0,0.265,0.0,0.0,0.0,0.0,0.001274,3e-05,0.00485,7.4e-05,0.00185,0.000325,0.000325,0.0,0.000625,0.0,0.16829,0.006327,0.5825,0.0754,1.5225,0.44508,3.6e-05,2.4e-05,0.00245,551.0
22697,0.0,1672.0,110.2,26.6,425.91065,7.0,143.0,0.0,31.854,4.092,68.642,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.001019,2.4e-05,0.00376,5e-05,0.00124,0.00024,0.00022,0.0,0.00042,0.0,0.145236,0.00459,0.412,0.070814,2.851657,0.3084,5e-05,1.6e-05,0.00172,720.71065
22709,0.0,-815.480187,67.689786,-35.911119,744.746923,50.606528,-310.632501,0.0,22.840699,10.876423,26.404441,0.0,0.0,0.0,0.0,0.0,0.0465,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0007,-0.000114,0.008168,-1.8e-05,-0.00048,-0.0,-0.000985,0.0,0.113353,-0.001141,1.514533,0.205514,3.894295,-0.40428,8e-06,-2.8e-05,-0.00285,449.93659
22719,0.0,513.45,29.7,7.5,85.05,2.625,53.625,0.0,12.9,2.94,12.18,0.0,0.0,0.0,0.0,0.0,0.0279,0.0,0.0,0.0,0.0,0.0,0.0,0.000705,1.8e-05,0.00045,3.8e-05,7.5e-05,0.0,0.00015,0.0,0.01808,0.000944,0.10155,0.0371,2.7228,0.09146,5e-05,5e-06,0.00045,187.0
22728,0.0,577.4,58.16,15.0,87.34,0.0,0.0,0.0,16.605,3.354,34.735,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.000509,1.2e-05,0.00296,1.3e-05,0.0038,0.00016,7e-05,0.0,0.00019,0.0,0.066,0.00187,0.233,0.0338,0.672,0.13,2.4e-05,2.3e-05,0.00254,160.0
