,Recipe_id,alcohol,energia,grasa,proteina,agua,fibra,carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),Total_Grams,grasa_cals_pctg,proteina_cals_pctg,carbos_cals_pctg
6287,62413,21.45,1173.04,64.3441,63.367375,1431.7964,25.476999999999997,48.056000000000004,0.008,19.28335,7.65896,31.6339,0.018000000000000002,0.1982,5.104,1.34,9.427999999999999,0.33799999999999997,4.016,0.614,0.086,0.008,0.000533,2e-06,0.003988,0.000254,0.069938,0.005565,0.00126,1e-06,0.002118,0.04735,0.333138,0.013899000000000002,4.64195,0.227981,0.70047,1.34665,5.6000000000000006e-05,0.00011100000000000001,0.003633,1656.0,56.5,24.7,18.8
6288,62416,0.0,261.18,1.304,3.826,531.092,8.504,57.504,0.0,0.22399999999999998,0.784,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-05,0.0,0.0021219999999999998,8.6e-05,0.002284,0.000167,0.000123,0.0,0.001098,0.11947999999999999,0.07007999999999999,0.0016940000000000002,1.05892,0.09174,0.013040000000000001,0.10418,4e-06,3e-06,0.000558,604.0,4.6,6.0,89.5
6289,62424,0.0,2346.48515,182.05183799999998,118.81140900000001,974.6879550000001,8.096465,60.571231999999995,0.09,71.060047,23.04801,75.933516,0.125,1.9652,20.063,11.634,30.471,0.49892,10.972000000000001,0.474,0.225,0.01,0.001212,3e-06,0.006964,0.000149,0.039347,0.0020510000000000003,0.0006230000000000001,8e-06,0.002268,0.104376,1.487247,0.016073,2.957525,0.215295,6.06689,1.561312,0.00011499999999999999,0.000129,0.020947,1355.80808,69.5,20.2,10.3
6290,62428,0.0,3418.13,187.40085,96.037155,835.5012,31.9434,330.449,0.0,60.0399,10.9878,100.0432,0.0,0.0068,0.5338,0.2669,7.8659,1.3355,0.799,0.0238,0.0,0.0,0.001991,2.9999999999999997e-05,0.013056,0.000332,0.033231000000000004,0.004253,0.0013570000000000001,7.000000000000001e-06,0.0016769999999999999,0.018680000000000002,1.209444,0.060214,2.9539,0.300093,1.7840900000000002,1.60881,0.00011499999999999999,9.499999999999999e-05,0.00744,1491.0,49.7,11.3,39.0
6291,62441,0.0,1203.65,98.235,47.875,484.915,1.05,32.95,0.0,30.23075,7.0815,50.96125,0.0,0.0,0.0,0.0,0.0,1.1385,0.0,0.0,0.0,0.0,0.001131,2e-05,0.0049759999999999995,0.000146,0.01031,0.001725,0.00040199999999999996,7.000000000000001e-06,0.000434,0.0025,0.493,0.006912000000000001,0.90225,0.0697,1.0399,0.8185,9.499999999999999e-05,3.9e-05,0.0048850000000000005,665.0,73.2,15.9,10.9
6292,62457,0.0,768.124153,54.29399599999999,44.928862,488.928906,9.733667,25.503996,0.0574,17.261879,3.753961,29.126659000000004,0.0042,0.0532,3.4265,1.8018,4.7558,0.197892,2.0972,0.14,0.3262,0.0455,0.004151,0.0,0.00412,0.00020800000000000001,0.008737,0.000837,0.0008470000000000001,4e-06,0.001227,0.103493,1.3838270000000001,0.0049369999999999995,1.698896,0.161821,5.254903,0.912386,8.8e-05,1.6e-05,0.005449,649.29891,63.4,23.3,13.2
6293,62466,0.0,1505.06,116.833,67.3575,1367.895,15.49,46.933,0.02,50.90385,12.0393,42.879,0.048,0.6562,11.937999999999999,6.272,17.875999999999998,0.268,6.808,4.448,0.17600000000000002,0.0,0.000921,0.0,0.008131999999999999,0.00038700000000000003,0.026106,0.00107,0.0013289999999999999,6e-06,0.002386,0.46986000000000006,0.31146999999999997,0.011346,3.48809,0.18322,4.81044,0.90181,4e-05,5.4000000000000005e-05,0.013153999999999999,1629.0,69.7,17.9,12.4
6294,62468,0.0,1621.92,109.331,110.899,984.85,13.862,49.06399999999999,0.016,33.6799,14.6122,48.8533,0.036000000000000004,0.396,9.792,2.592,15.728,1.0033,7.76,1.2,0.172,0.016,0.001161,1.4999999999999999e-05,0.008452,0.000442,0.055698000000000004,0.001616,0.000919,5e-06,0.003807,0.10951,0.36225,0.011035,3.3383300000000005,0.1818,1.43955,1.22104,0.000106,6.3e-05,0.0075650000000000005,1272.0,60.6,27.3,12.1
6295,62481,21.45,933.6808710000001,40.17138,86.993162,1148.443888,5.434,17.932000000000002,0.016599000000000003,13.064478999999999,10.174781,10.835721000000001,0.037347000000000005,0.410815,10.239328,2.718969,16.430398999999998,0.410815,8.416309,1.247893,0.17843499999999998,0.016599000000000003,0.000408,0.0,0.00589,0.000144,0.051569000000000004,0.000941,0.000589,2e-06,0.002577,0.075324,0.151363,0.006516,2.1896970000000002,0.148289,0.79861,0.8310709999999999,5e-05,4.7e-05,0.0052450000000000005,1322.9643800000001,46.3,44.5,9.2
6296,62483,0.0,1164.185,92.0039,56.082875,37.3328,27.76,29.3431,0.0,49.87489,21.82092,14.53845,0.0255,0.02875,11.5565,3.01055,48.7645,0.0,22.0725,3.19875,0.0,0.0,0.00045099999999999996,0.0,0.012815,0.000566,0.013486000000000001,0.000545,0.001001,0.0,0.000843,0.008435,0.440194,0.039261000000000004,3.11478,0.42230100000000004,1.3991,1.06974,3.7e-05,2.2e-05,0.007083,264.5,70.8,19.2,10.0
